Country,ISO2,ISO3,Indicator,Series,Variable,Model,Scenarios,Unit,Source,CTS Name,CTS Code,CTS Full Descriptor,2020,2025,2030,2035,2040,2045,2050
Kuwait,KW,KWT,Transition Pathways,Surface temperature,95th percentile,GCAM,Below 2°C,Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,27.41612,27.69748,27.95547,28.20348,28.40729,28.5521,28.69349
Kuwait,KW,KWT,Transition Pathways,Surface temperature,95th percentile,GCAM,Current Policies (Hot house world scenario),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,27.41642,27.65935,27.91055,28.15994,28.42833,28.69551,28.99778
Kuwait,KW,KWT,Transition Pathways,Surface temperature,95th percentile,GCAM,Delayed Transition (Disorderly scenario),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,27.4154,27.68048,27.90609,28.2044,28.45039,28.62416,28.76791
Kuwait,KW,KWT,Transition Pathways,Surface temperature,95th percentile,GCAM,Fragmented World,Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,27.41665,27.6592,27.91078,28.17269,28.43372,28.66311,28.91171
Kuwait,KW,KWT,Transition Pathways,Surface temperature,95th percentile,GCAM,Low Demand,Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,27.41519,27.67467,27.91433,28.15114,28.34223,28.46601,28.50195
Kuwait,KW,KWT,Transition Pathways,Surface temperature,95th percentile,GCAM,Nationally Determined Contributions (NDCs),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,27.41691,27.66556,27.92329,28.18219,28.44303,28.67959,28.95016
Kuwait,KW,KWT,Transition Pathways,Surface temperature,95th percentile,GCAM,Net Zero 2050 (Orderly scenario),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,27.41636,27.70408,27.97128,28.20645,28.38206,28.48283,28.48716
Kuwait,KW,KWT,Transition Pathways,Surface temperature,95th percentile,MESSAGEix-GLOBIOM,Below 2°C,Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,27.39598,27.69399,27.96985,28.21132,28.40215,28.53411,28.67799
Kuwait,KW,KWT,Transition Pathways,Surface temperature,95th percentile,MESSAGEix-GLOBIOM,Current Policies (Hot house world scenario),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,27.39709,27.66562,27.89688,28.15387,28.4325,28.67746,28.95874
Kuwait,KW,KWT,Transition Pathways,Surface temperature,95th percentile,MESSAGEix-GLOBIOM,Delayed Transition (Disorderly scenario),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,27.3958,27.68655,27.89261,28.20605,28.45815,28.60473,28.75085
Kuwait,KW,KWT,Transition Pathways,Surface temperature,95th percentile,MESSAGEix-GLOBIOM,Fragmented World,Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,27.39718,27.66511,27.89767,28.19978,28.47747,28.6908,28.90724
Kuwait,KW,KWT,Transition Pathways,Surface temperature,95th percentile,MESSAGEix-GLOBIOM,Low Demand,Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,27.39601,27.6963,28.02114,28.24219,28.38033,28.44691,28.4993
